1_0_2_1B4A_802_2_11A0000_0_0_0          |  BBC RnGàid                        |  1B4A_802_2_11A0000=--------                       |  bbc rngàid=bbcradionangaidheal
1_0_2_1B49_802_2_11A0000_0_0_0          |  BBC R Scot                        |  1B49_802_2_11A0000=--------                       |  bbc r scot=bbcradioscotland
1_0_2_287F_800_2_11A0000_0_0_0          |  BBC R Ulster                      |  287F_800_2_11A0000=--------                       |  bbc r ulster=bbcradioulster
1_0_2_1B4B_802_2_11A0000_0_0_0          |  BBC R Wales                       |  1B4B_802_2_11A0000=--------                       |  bbc r wales=bbcradiowales
1_0_19_285F_7FE_2_11A0000_0_0_0         |  BBCScotlandHD                     |  285F_7FE_2_11A0000=--------                       |  bbcscotlandhd=bbcscotland
1_0_2_188C_1044_233A_EEEE0000_0_0_0     |  BBC Surrey                        |  188C_1044_233A_EEEE0000=--------                  |  bbc surrey=bbcradiosurrey
1_0_1_10C0_1044_233A_EEEE0000_0_0_0     |  BBC THREE                         |  10C0_1044_233A_EEEE0000=--------                  |  bbc three=bbcthree
1_0_2_180D_1044_233A_EEEE0000_0_0_0     |  BBC Three Counties                |  180D_1044_233A_EEEE0000=--------                  |  bbc three counties=bbcradiothreecounties
1_0_19_1B27_802_2_11A0000_0_0_0         |  BBC Three HD                      |  1B27_802_2_11A0000=--------                       |  bbc three hd=bbcthree
1_0_19_1B3B_802_2_11A0000_0_0_0         |  BBC Three HD                      |  1B3B_802_2_11A0000=--------                       |  bbc three hd=bbcthree
1_0_19_4600_4084_233A_EEEE0000_0_0_0    |  BBC THREE HD                      |  4600_4084_233A_EEEE0000=--------                  |  bbc three hd=bbcthree
1_0_19_4BA9_817_600_FFFF0000_0_0_0      |  BBC Two                           |  4BA9_817_600_FFFF0000=--------                    |  bbc two=bbctwo
1_0_1_10BF_1044_233A_EEEE0000_0_0_0     |  BBC TWO                           |  10BF_1044_233A_EEEE0000=--------                  |  bbc two=bbctwo
1_0_19_1B1C_802_2_11A0000_0_0_0         |  BBC Two HD                        |  1B1C_802_2_11A0000=--------                       |  bbc two hd=bbctwo
1_0_19_4440_4084_233A_EEEE0000_0_0_0    |  BBC TWO HD                        |  4440_4084_233A_EEEE0000=--------                  |  bbc two hd=bbctwo
1_0_19_18A8_7FD_2_11A0000_0_0_0         |  BBC Two NI HD                     |  18A8_7FD_2_11A0000=--------                       |  bbc two ni hd=bbctwonorthernireland
1_0_19_18BC_7FD_2_11A0000_0_0_0         |  BBC Two NI HD                     |  18BC_7FD_2_11A0000=--------                       |  bbc two ni hd=bbctwonorthernireland
1_0_19_287C_800_2_11A0000_0_0_0         |  BBC Two Wal HD                    |  287C_800_2_11A0000=--------                       |  bbc two wal hd=bbctwowales
1_0_2_4709_840_600_FFFF0000_0_0_0       |  BBC World Service                 |  4709_840_600_FFFF0000=--------                    |  bbc world service=bbcradioworldservice
1_0_2_2864_7FE_2_11A0000_0_0_0          |  BBC World Sv                      |  2864_7FE_2_11A0000=--------                       |  bbc world sv=bbcradioworldservice
